n,g,m,r,efficiency
150,3,0.9800000190734864,8,0.365467
150,5,0.9800000190734864,8,0.354978
150,5,0.9800000190734864,8,0.3528
150,6,0.9800000190734864,8,0.345867
150,3,0.9800000190734864,8,0.3688
150,5,0.9800000190734864,8,0.354667
150,3,0.9800000190734864,8,0.361378
150,2,0.9800000190734864,8,0.352089
150,3,0.9800000190734864,8,0.3564
150,5,0.9800000190734864,8,0.342356
150,2,0.9800000190734864,8,0.355022
150,6,0.9800000190734864,8,0.338489
150,5,0.9800000190734864,8,0.347733
150,5,0.9800000190734864,8,0.347778
150,3,0.9800000190734864,8,0.350711
150,6,0.9800000190734864,8,0.339778
150,4,0.9800000190734864,8,0.350933
150,6,0.9800000190734864,8,0.3344
150,2,0.9800000190734864,8,0.347867
150,4,0.9800000190734864,8,0.356933
150,6,0.9800000190734864,8,0.338533
150,2,0.9800000190734864,8,0.355511
150,6,0.9800000190734864,8,0.343867
150,5,0.9800000190734864,8,0.351467
150,6,0.9800000190734864,8,0.333511
150,3,0.9800000190734864,8,0.365333
150,3,0.9800000190734864,8,0.359689
150,4,0.9800000190734864,8,0.359689
150,3,0.9800000190734864,8,0.361911
150,5,0.9800000190734864,8,0.360844
150,3,0.9800000190734864,8,0.362933
150,5,0.9800000190734864,8,0.352489
150,4,0.9800000190734864,8,0.359378
150,5,0.9800000190734864,8,0.348667
150,6,0.9800000190734864,8,0.339067
150,2,0.9800000190734864,8,0.346044
150,2,0.9800000190734864,8,0.345156
150,3,0.9800000190734864,8,0.359067
150,3,0.9800000190734864,8,0.349422
150,2,0.9800000190734864,8,0.351378
150,3,0.9800000190734864,8,0.369111
150,2,0.9800000190734864,8,0.337911
150,5,0.9800000190734864,8,0.3508
150,5,0.9800000190734864,8,0.349111
150,4,0.9800000190734864,8,0.366622
150,3,0.9800000190734864,8,0.361822
150,3,0.9800000190734864,8,0.360711
150,6,0.9800000190734864,8,0.335378
150,3,0.9800000190734864,8,0.367111
150,6,0.9800000190734864,8,0.336044
150,3,0.9800000190734864,8,0.358356
150,2,0.9800000190734864,8,0.348533
150,3,0.9800000190734864,8,0.368133
150,3,0.9800000190734864,8,0.3552
150,6,0.9800000190734864,8,0.338756
150,3,0.9800000190734864,8,0.364844
150,5,0.9800000190734864,8,0.350222
150,2,0.9800000190734864,8,0.337556
150,6,0.9800000190734864,8,0.348667
150,5,0.9800000190734864,8,0.3456
150,5,0.9800000190734864,8,0.353867
150,2,0.9800000190734864,8,0.351511
150,6,0.9800000190734864,8,0.346756
150,5,0.9800000190734864,8,0.355156
150,2,0.9800000190734864,8,0.3416
150,4,0.9800000190734864,8,0.360267
150,6,0.9800000190734864,8,0.34
150,4,0.9800000190734864,8,0.368622
150,5,0.9800000190734864,8,0.350044
150,3,0.9800000190734864,8,0.3636
150,6,0.9800000190734864,8,0.345244
150,4,0.9800000190734864,8,0.364889
150,2,0.9800000190734864,8,0.348578
150,2,0.9800000190734864,8,0.358356
150,5,0.9800000190734864,8,0.350711
150,6,0.9800000190734864,8,0.340756
150,2,0.9800000190734864,8,0.353778
150,6,0.9800000190734864,8,0.345467
150,6,0.9800000190734864,8,0.344578
150,2,0.9800000190734864,8,0.344667
150,2,0.9800000190734864,8,0.362933
150,5,0.9800000190734864,8,0.354444
150,4,0.9800000190734864,8,0.355422
150,6,0.9800000190734864,8,0.339067
150,5,0.9800000190734864,8,0.348533
150,6,0.9800000190734864,8,0.3424
150,2,0.9800000190734864,8,0.349333
150,4,0.9800000190734864,8,0.355111
